STEP ACCRATIO <dR> <dR2> <ENERGY>
403 0.316832 -0.00449364 0.00201749 0.0719072
404 0.316049 -0.00448605 0.00201252 0.0717298
405 0.315271 -0.0044785 0.00200757 0.0715533
406 0.314496 -0.00447099 0.00200264 0.0713777
407 0.313726 -0.00446352 0.00199773 0.0712029
408 0.312958 -0.00445608 0.00199286 0.071029
409 0.312195 -0.00444867 0.001988 0.0708559
410 0.313869 -0.004465 0.00198347 0.0706943
411 0.315534 -0.00453636 0.00198144 0.070622
412 0.31477 -0.00460738 0.00197941 0.0705499
413 0.31401 -0.00467805 0.0019774 0.0704783
414 0.313253 -0.00474838 0.0019754 0.0704069
415 0.314904 -0.0047525 0.00197075 0.0702413
416 0.314149 -0.0047566 0.00196613 0.0700764
417 0.313397 -0.00476067 0.00196152 0.0699123
418 0.315036 -0.00478129 0.00195727 0.0697607
419 0.316667 -0.00468682 0.00195551 0.069698
420 0.315914 -0.0045928 0.00195376 0.0696355
421 0.315166 -0.00449922 0.00195201 0.0695733
422 0.316785 -0.00451309 0.00194765 0.0694179
423 0.316038 -0.0045269 0.00194331 0.0692632
424 0.315294 -0.00454064 0.00193899 0.0691093
425 0.314554 -0.00455432 0.00193469 0.068956
426 0.313817 -0.00456793 0.00193042 0.0688035
427 0.313084 -0.00458148 0.00192616 0.0686517
428 0.314685 -0.00463469 0.00192342 0.0685541
429 0.313953 -0.00468766 0.00192069 0.068457
430 0.315545 -0.00463363 0.00191704 0.0683267
431 0.314815 -0.00457986 0.0019134 0.0681971
432 0.314088 -0.00452633 0.00190978 0.0680681
433 0.313364 -0.00447304 0.00190618 0.0679396
434 0.312644 -0.00442001 0.00190259 0.0678118
435 0.31422 -0.00446837 0.00189972 0.0677095
436 0.315789 -0.00445717 0.00189537 0.0675545
437 0.315068 -0.00444601 0.00189105 0.0674003
438 0.314351 -0.0044349 0.00188674 0.0672468
439 0.313636 -0.00442384 0.00188245 0.067094
440 0.312925 -0.00441284 0.00187818 0.0669419
441 0.31448 -0.00441765 0.00187403 0.0667938
442 0.31377 -0.00442244 0.0018699 0.0666465
443 0.313063 -0.00442721 0.00186578 0.0664998
444 0.31236 -0.00443196 0.00186168 0.0663538
445 0.313901 -0.00441714 0.00185752 0.0662054
446 0.313199 -0.0044024 0.00185338 0.0660577
