STEP ACCRATIO <dR> <dR2> <ENERGY>
18500 0.284417 0.0011581 0.000384419 0.0137867
18600 0.284447 0.00118765 0.000383985 0.0137769
18700 0.284423 0.00118313 0.000382771 0.0137369
18800 0.284825 0.00117914 0.000381898 0.0137105
18900 0.285011 0.00118135 0.000381552 0.013706
19000 0.285143 0.00119259 0.000380832 0.0136841
19100 0.28454 0.00117799 0.00038038 0.0136753
19200 0.284829 0.00116561 0.000381089 0.0137129
19300 0.284856 0.0012119 0.000380492 0.0136942
19400 0.284934 0.00125018 0.000381022 0.0137184
19500 0.284857 0.00125645 0.00038055 0.0137077
19600 0.284883 0.00124694 0.000380011 0.013695
19700 0.28496 0.0012549 0.000379664 0.0136888
19800 0.285036 0.00127078 0.000379673 0.0136955
19900 0.285363 0.0012799 0.000379563 0.0136962
20000 0.285286 0.00130781 0.00037893 0.0136767
20100 0.285458 0.00132195 0.000378483 0.0136634
20200 0.285332 0.00132366 0.000377521 0.0136323
20300 0.285158 0.00133842 0.000377864 0.0136513
20400 0.285182 0.0013405 0.000378269 0.0136728
20500 0.28545 0.00132837 0.000378924 0.0137082
20600 0.28586 0.00133369 0.000379225 0.0137275
20700 0.28588 0.00133089 0.000377913 0.013682
20800 0.285804 0.00132068 0.000377905 0.0136903
20900 0.286254 0.00132492 0.000378693 0.0137203
21000 0.286605 0.00130852 0.000378776 0.0137302
21100 0.286385 0.00127281 0.000378252 0.0137182
21200 0.286449 0.00127787 0.000378701 0.0137419
21300 0.286372 0.00127583 0.000378033 0.013722
21400 0.286155 0.00126725 0.000376966 0.0136859
21500 0.286405 0.00123714 0.000376316 0.0136679
21600 0.285959 0.00124323 0.000375835 0.0136565
21700 0.285839 0.00124002 0.000375944 0.0136662
21800 0.286317 0.00121561 0.000376259 0.0136869
21900 0.286608 0.00123333 0.000376268 0.0136903
22000 0.286669 0.00124196 0.000375956 0.0136843
22100 0.286367 0.0012223 0.00037544 0.01367
22200 0.286474 0.00123272 0.000374957 0.0136555
22300 0.28631 0.00119286 0.000374768 0.0136566
22400 0.286193 0.00120422 0.000374405 0.0136467
22500 0.286743 0.00122466 0.000374021 0.013636
22600 0.28658 0.00120737 0.000373341 0.0136155
22700 0.286419 0.00123041 0.000373119 0.013611
22800 0.286172 0.00123561 0.00037246 0.0135901
22900 0.285839 0.00123091 0.000371808 0.0135673
23000 0.285727 0.00121427 0.00037113 0.0135458
23100 0.285572 0.00124051 0.000370522 0.0135261
23200 0.285505 0.0012389 0.000370582 0.0135343
23300 0.285438 0.00124502 0.000370498 0.0135363
23400 0.285543 0.00121423 0.00036986 0.0135187
23500 0.285435 0.00121515 0.000369524 0.013512
23600 0.285369 0.00118574 0.000369554 0.0135231
23700 0.285515 0.00120137 0.000369051 0.0135066
23800 0.285408 0.00119716 0.000368497 0.0134896
23900 0.285009 0.00119871 0.000368256 0.0134845
24000 0.28503 0.0011859 0.000368185 0.0134869
24100 0.285133 0.00116918 0.000367835 0.0134796
24200 0.285236 0.00117747 0.000368088 0.0134954
24300 0.284885 0.00118367 0.000367459 0.0134743
24400 0.28507 0.00119756 0.000367693 0.0134862
24500 0.284886 0.00120697 0.000367895 0.0134959
24600 0.285273 0.00122608 0.000368005 0.0135039
24700 0.285575 0.00122939 0.000367525 0.0134894
24800 0.285835 0.00120637 0.000367986 0.0135128
24900 0.285531 0.00119271 0.000367087 0.0134823
25000 0.285629 0.00119865 0.000366739 0.0134728
25100 0.285487 0.00119141 0.000366947 0.0134852
25200 0.285465 0.00116596 0.000366694 0.013481
25300 0.285325 0.00118753 0.000366624 0.0134808
25400 0.285382 0.00118792 0.000366765 0.0134914
25500 0.285557 0.00120825 0.000366558 0.0134861
25600 0.285731 0.00121232 0.000366096 0.0134721
25700 0.285825 0.00123264 0.000365765 0.0134623
25800 0.285842 0.00124548 0.000365584 0.0134577
25900 0.28578 0.00125423 0.000365665 0.0134654
26000 0.285758 0.00125212 0.00036508 0.0134465
26100 0.285506 0.00126616 0.000364274 0.0134183
26200 0.285333 0.00127868 0.000364739 0.0134356
26300 0.285464 0.00128342 0.000364685 0.0134348
26400 0.285368 0.00127058 0.000364018 0.0134137
26500 0.285385 0.00127211 0.000363587 0.0133999
26600 0.285628 0.00125062 0.000363036 0.0133829
26700 0.285383 0.00125386 0.000362574 0.0133685
26800 0.285288 0.00125478 0.000362014 0.0133512
26900 0.285231 0.00124551 0.000361228 0.0133247
27000 0.285101 0.00123075 0.000361018 0.0133218
27100 0.284971 0.00121859 0.000360339 0.0132998
27200 0.285063 0.00121732 0.000360589 0.0133145
27300 0.285118 0.00121775 0.000360856 0.0133288
27400 0.28499 0.0012271 0.000361151 0.0133419
27500 0.284826 0.00121249 0.000360672 0.0133264
27600 0.284845 0.00120405 0.000360411 0.0133195
27700 0.284972 0.00122292 0.000359807 0.0132986
27800 0.28517 0.0012294 0.000359597 0.0132931
27900 0.285187 0.00122085 0.000359426 0.013291
28000 0.285526 0.00123636 0.000360049 0.0133171
28100 0.285577 0.00124147 0.000360301 0.0133309
28200 0.285628 0.00124949 0.000360067 0.0133247
28300 0.285432 0.00125125 0.000360121 0.0133285
28400 0.285272 0.00124773 0.000359903 0.0133248
28500 0.285499 0.00124587 0.000359732 0.0133219
28600 0.28541 0.00123962 0.000359586 0.0133177
28700 0.285356 0.00123113 0.000359149 0.0133039
28800 0.285233 0.00123026 0.000358614 0.0132856
28900 0.28518 0.00122352 0.000358012 0.0132654
29000 0.285266 0.00122943 0.000358061 0.0132711
29100 0.285317 0.00120958 0.000357682 0.0132591
29200 0.285298 0.00123411 0.000357384 0.0132487
29300 0.285383 0.00123721 0.000357089 0.0132403
29400 0.285228 0.00122612 0.0003569 0.013238
29500 0.285211 0.00120723 0.000356772 0.0132391
29600 0.28499 0.00118946 0.000356459 0.0132316
29700 0.284974 0.00120084 0.000356088 0.0132195
29800 0.28489 0.00121663 0.000356178 0.0132255
29900 0.28484 0.00121294 0.000355853 0.0132169
30000 0.28499 0.00124551 0.000356821 0.013254
30100 0.284874 0.00122656 0.000356211 0.0132339
30200 0.284659 0.00123662 0.000356521 0.0132504
30300 0.28471 0.00124633 0.000356047 0.0132347
30400 0.285024 0.00125097 0.000356103 0.0132391
30500 0.285138 0.00126612 0.000355843 0.0132316
30600 0.285252 0.00125331 0.00035581 0.0132335
30700 0.2853 0.00125298 0.000355538 0.0132262
30800 0.285088 0.00125106 0.000354852 0.0132018
30900 0.284845 0.00124729 0.000354637 0.0131969
31000 0.28483 0.00123906 0.000354223 0.0131837
31100 0.284943 0.00124315 0.000354311 0.013192
31200 0.285183 0.00123622 0.000354069 0.0131866
31300 0.285326 0.00122299 0.000353384 0.0131628
31400 0.285278 0.00121395 0.000353487 0.0131696
31500 0.285102 0.00120673 0.000353178 0.0131614
31600 0.285181 0.00119509 0.000352677 0.0131449
31700 0.284944 0.0011913 0.000352559 0.0131429
31800 0.284739 0.0011938 0.00035204 0.0131248
31900 0.284725 0.00120752 0.000352032 0.0131282
32000 0.284679 0.00121624 0.00035166 0.0131163
32100 0.284913 0.00121273 0.000351632 0.0131183
32200 0.28496 0.00121037 0.000351985 0.0131348
32300 0.284883 0.00122849 0.000351533 0.0131187
32400 0.284991 0.00121935 0.000351286 0.0131125
32500 0.28513 0.00120528 0.00035161 0.0131303
32600 0.285053 0.00120492 0.000351172 0.0131153
32700 0.285007 0.00121501 0.000351053 0.0131115
32800 0.285022 0.00123411 0.000351543 0.0131298
32900 0.285128 0.00122119 0.000351702 0.0131399
33000 0.284961 0.00122704 0.000351532 0.0131328
33100 0.284765 0.00122941 0.000351505 0.0131367
33200 0.284811 0.00123582 0.000351585 0.0131405
33300 0.284466 0.00122059 0.000351365 0.0131358
33400 0.284512 0.00123583 0.000351326 0.0131354
33500 0.284827 0.00126054 0.000352385 0.0131734
33600 0.284872 0.00126436 0.000352602 0.0131832
33700 0.285095 0.00126476 0.000351987 0.0131613
33800 0.285347 0.00126853 0.000352205 0.0131722
33900 0.285272 0.00128704 0.000352008 0.0131654
34000 0.285345 0.00127639 0.00035146 0.0131468
34100 0.2853 0.00126706 0.000351629 0.0131582
34200 0.28543 0.00126334 0.000351588 0.0131587
34300 0.28556 0.00128146 0.000352234 0.0131841
34400 0.285486 0.00131413 0.000353223 0.013218
34500 0.285644 0.00130271 0.000353526 0.013234
34600 0.286003 0.00129628 0.0003538 0.0132469
34700 0.285957 0.00129369 0.000353327 0.0132308
34800 0.285825 0.00129393 0.000352817 0.0132132
34900 0.286066 0.00127963 0.000352724 0.0132135
35000 0.285963 0.00128803 0.000352112 0.0131912
35100 0.285889 0.00131533 0.000352482 0.0132059
35200 0.285901 0.00130851 0.000351805 0.0131816
35300 0.286083 0.0013147 0.000352219 0.0131995
35400 0.286178 0.00131824 0.000352323 0.013204
35500 0.286105 0.00133713 0.000353224 0.0132369
35600 0.286003 0.0013359 0.000353314 0.0132427
35700 0.285874 0.00132365 0.00035301 0.013234
35800 0.285858 0.00133121 0.000353164 0.0132428
35900 0.285981 0.00134265 0.000353128 0.0132415
36000 0.28602 0.00135161 0.000353086 0.013242
36100 0.286169 0.0013369 0.000353671 0.0132682
36200 0.286401 0.00134463 0.000353694 0.0132709
36300 0.286246 0.00133694 0.000353338 0.01326
36400 0.286091 0.00134387 0.000353241 0.0132577
36500 0.286157 0.00133731 0.000352838 0.0132446
36600 0.286085 0.00133656 0.000352343 0.0132273
36700 0.285905 0.00133474 0.000352062 0.0132177
36800 0.285807 0.00132806 0.000351697 0.0132052
36900 0.28571 0.00132323 0.000351751 0.0132093
37000 0.285884 0.00133011 0.000351453 0.0131989
37100 0.285895 0.00132442 0.000351653 0.0132097
